OSEBuildingID,BuildingType,PrimaryPropertyType,PropertyName,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SourceEUI(kBtu/sf),SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),ComplianceStatus,TotalGHGEmissions,GHGEmissionsIntensity,SteamRatio,ElectricityRatio,NaturalGasRatio,SurfacePerBuilding,SurfacePerFloor,ParkingRatio,BuildingRatio
28,NonResidential,K-12 School,Graham Hill Elementary,SOUTHEAST,1961,1.0,2,56228,0,56228,K-12 School,58916.0,Inconnu,36804.1605811462,Inconnu,14923.139939614732,95.0,26.10000038,60.70000076,1539478.5,0.0,936955.0,602523.0,Error - Correct Default Data,38.53,0.69,0.0,0.608618437997023,0.3913812372176682,56228.0,28114.0,0.0,1.0
29,NonResidential,Hotel,WATERTOWN HOTEL,NORTHEAST,2001,1.0,6,88592,30586,58006,Hotel,58006.0,Parking,30586.0,Inconnu,14923.139939614732,84.0,63.20000076,148.0,3663534.5,0.0,2266231.0,1397303.0,Compliant,90.01,1.02,0.0,0.6185914176596399,0.3814084458601386,58006.0,9667.666666666666,0.34524562037204265,0.6547543796279574
30,NonResidential,University,Main Campus Center,DOWNTOWN,1928,1.0,7,126593,0,126593,College/University,125000.0,Inconnu,36804.1605811462,Inconnu,14923.139939614732,65.44972577696527,90.69999695,173.0,11343686.0,0.0,4647474.0,6696211.0,Compliant,388.04,3.07,0.0,0.40969698914444563,0.590302922700787,126593.0,18084.714285714286,0.0,1.0
31,NonResidential,Other,Seattle Honda,DOWNTOWN,1930,1.0,2,67224,0,67224,Automobile Dealership,67224.0,Inconnu,36804.1605811462,Inconnu,14923.139939614732,65.44972577696527,19.5,61.20000076,1310236.625,0.0,1310236.0,0.0,Compliant,9.13,0.14,0.0,0.9999995229869261,0.0,67224.0,33612.0,0.0,1.0
32,NonResidential,Hotel,Homewood Suites,EAST,1991,1.0,8,158676,30301,128375,Hotel,112676.0,Parking,42000.0,Retail Store,4500.0,65.44972577696527,45.5,58.0,5328051.5,0.0,572307.0,4755745.0,Compliant,256.57,1.62,0.0,0.10741393922337275,0.892586154619564,128375.0,16046.875,0.19096145604880385,0.8090385439511961
33,NonResidential,Hotel,Marriott Springhill Suites (33),DOWNTOWN,2001,1.0,10,171866,38281,133585,Hotel,128909.0,Inconnu,36804.1605811462,Inconnu,14923.139939614732,57.0,85.80000305,181.1000061,11061916.0,0.0,5610706.0,5451210.0,Compliant,328.63,1.91,0.0,0.507209239339731,0.492790760660269,133585.0,13358.5,0.22273748152630538,0.7772625184736947
35,NonResidential,Hotel,Hotel Five,DOWNTOWN,1978,1.0,5,68410,16200,52210,Hotel,47994.0,Inconnu,36804.1605811462,Inconnu,14923.139939614732,57.0,92.90000153,199.6999969,4456714.5,0.0,2346349.0,2110365.0,Compliant,128.44,1.88,0.0,0.5264750524180986,0.4735248353916321,52210.0,10442.0,0.2368074842859231,0.7631925157140769
36,NonResidential,K-12 School,Jane Addams Middle,NORTH,1949,1.0,2,160645,0,160645,K-12 School,164229.0,Inconnu,36804.1605811462,Inconnu,14923.139939614732,75.0,41.29999924,68.09999847,6779173.0,0.0,1947601.0,4831572.0,Error - Correct Default Data,270.18,1.68,0.0,0.28729182748397186,0.7127081725160281,160645.0,80322.5,0.0,1.0
38,NonResidential,Small- and Mid-Sized Office,Good Shepherd Center,LAKE UNION,1906,1.0,3,87262,0,87262,Office,40943.0,K-12 School,18153.0,Other - Entertainment/Public Assembly,4307.0,65.44972577696527,61.5,106.5,4145920.5,0.0,1352843.0,2793077.0,Compliant,157.77,1.81,0.0,0.3263070288009623,0.6736928505985583,87262.0,29087.333333333332,0.0,1.0
40,NonResidential,Hotel,Silver Cloud University,NORTHEAST,1994,1.0,4,81871,0,81871,Hotel,81871.0,Inconnu,36804.1605811462,Inconnu,14923.139939614732,29.0,81.5,162.5,6668568.5,0.0,3016399.0,3652169.0,Compliant,215.0,2.63,0.0,0.45233081132779845,0.5476691136935911,81871.0,20467.75,0.0,1.0
41,NonResidential,Self-Storage Facility,08781-University Village,NORTHEAST,1955,1.0,2,110356,0,110356,Self-Storage Facility,26225.0,Inconnu,36804.1605811462,Inconnu,14923.139939614732,65.44972577696527,12.10000038,35.20000076,318364.8125,0.0,281265.0,37100.0,Compliant,3.93,0.04,0.0,0.8834676099765265,0.1165329789704696,110356.0,55178.0,0.0,1.0
43,NonResidential,Mixed Use Property,Plant 2 Site,GREATER DUWAMISH,1992,1.0,3,494835,0,494835,Office,757027.0,Laboratory,639931.0,Non-Refrigerated Warehouse,459748.0,8.0,221.6999969,388.2000122,448385312.0,0.0,150476283.0,297909000.0,Compliant,16870.98,34.09,0.0,0.3355959238022498,0.6644040115212337,494835.0,164945.0,0.0,1.0
46,NonResidential,Warehouse,Seattle 11-13,GREATER DUWAMISH,1961,3.0,2,714095,0,714095,Non-Refrigerated Warehouse,616000.0,Refrigerated Warehouse,276000.0,Office,71000.0,65.44972577696527,46.40000153,145.8999939,44731160.0,0.0,44731153.0,0.0,Compliant,311.84,0.44,0.0,0.9999998435095356,0.0,238031.66666666666,357047.5,0.0,1.0
50,NonResidential,K-12 School,Lawton Elementary,MAGNOLIA / QUEEN ANNE,1990,1.0,2,54986,0,54986,K-12 School,54986.0,Inconnu,36804.1605811462,Inconnu,14923.139939614732,97.0,30.0,77.80000305,1650279.25,0.0,1217589.0,432690.0,Compliant,31.47,0.57,0.0,0.7378078588820649,0.262191989628422,54986.0,27493.0,0.0,1.0
